Material,Description,ProdLoc,BinSize,Qty,ProductionLine,StationCode,,,,,,
1SDR001931A1701,XT4 3P Ekip Touch LSI 100A IEC/UL,XT2 XT4 ATO.A.2.1,L,24,XT2 XT4 ATO,ST 140,,,,,,
1SDR001931A1702,XT4 3P Ekip Touch LSI 150A UL,XT2 XT4 ATO.A.2.2,L,24,XT2 XT4 ATO,ST 140,,,,,,
1SDR001931A1706,XT4 3P Ekip Touch LSIG 100A IEC/UL,XT2 XT4 ATO.A.2.3,L,24,XT2 XT4 ATO,ST 140,,,,,,
1SDR001931A1715,XT4 3P Ekip Touch Meas LSI 250A IEC/UL,XT2 XT4 ATO.A.3.1,L,24,XT2 XT4 ATO,ST 140,,,,,,
RB2897808,TRIP UNIT XT2 TMF 3P R50 UL,XT2 XT4 ATO.A.3.2,L,24,XT2 XT4 ATO,ST 140,,,,,,
RB2899802,TRIP UNIT XT4 TMA 3P R225 UL,XT2 XT4 ATO.A.3.3,L,24,XT2 XT4 ATO,ST 140,,,,,,
RB2899804,TRIP UNIT XT4 TMA 3P R175 UL,XT2 XT4 ATO.L.1.1,L,24,XT2 XT4 ATO,ST 140,,,,,,
RB2899813,TRIP UNIT XT4 TMF 3P R50 UL,XT2 XT4 ATO.L.1.2,L,24,XT2 XT4 ATO,ST 140,,,,,,
RB2899856,TRIP UNIT XT4 TMF 3P R125 UL,XT2 XT4 ATO.L.1.3,L,24,XT2 XT4 ATO,ST 140,,,,,,
RB2899858,TRIP UNIT XT4 TMF 3P R100 UL,XT2 XT4 ATO.L.2.1,L,24,XT2 XT4 ATO,ST 140,,,,,,
RE2359807,Ekip LSIG XT4 3P 250A,XT2 XT4 ATO.L.2.2,L,24,XT2 XT4 ATO,ST 140,,,,,,
RE2566803,Ekip LSI XT2 3P 60A,XT2 XT4 ATO.L.2.3,L,24,XT2 XT4 ATO,ST 140,,,,,,
RE4305832,XT4 Ekip Hi-Touch LSIG 150A III UL,XT2 XT4 ATO.L.3.1,L,24,XT2 XT4 ATO,ST 140,,,,,,
RE4305845,XT4 Ekip Hi-Touch LSI 250A III IEC/UL,XT2 XT4 ATO.L.3.2,L,24,XT2 XT4 ATO,ST 140,,,,,,
RE4375831,XT2 Ekip Hi-Touch LSIG 40A III IEC/UL,XT2 XT4 ATO.B.2.2,L,24,XT2 XT4 ATO,ST 140,,,,,,
RE4375841,XT2 Ekip Hi-Touch LSI 40A III IEC/UL,XT2 XT4 ATO.B.2.3,L,24,XT2 XT4 ATO,ST 140,,,,,,
RE4375842,XT2 Ekip Hi-Touch LSI 60A III UL,XT2 XT4 ATO.B.3.1,L,24,XT2 XT4 ATO,ST 140,,,,,,
RE4375844,XT2 Ekip Hi-Touch LSI 100A III IEC/UL,XT2 XT4 ATO.B.3.2,L,24,XT2 XT4 ATO,ST 140,,,,,,
